Archive Organiser inventory
Generated: 2026-07-27 11:50:16
Files: 14253

Path | Category | Size bytes | Modified
------------------------------------------------------------------------
/run/media/p/7DC8-B00D/AI-Chat-Prompt | Other | 19345 | 2026-05-19 12:35:00
/run/media/p/7DC8-B00D/AI-Chat-Prompt-Answers-Laptop | Other | 2627 | 2026-05-19 12:35:44
/run/media/p/7DC8-B00D/New-Folder/New--Folder/AzireVPN-Invoice-3-4-26.pdf | Documents | 59255 | 2026-04-03 09:25:18
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/Android/data/.nomedia | Other | 0 | 2023-04-28 10:41:00
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/alderlakedmasecextension.inf_amd64_f0d7eea44ed4e421/AlderLakeDmaSec.cat | Other | 15172 | 2024-06-27 12:19:04
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/alderlakedmasecextension.inf_amd64_f0d7eea44ed4e421/alderlakedmasecextension.inf | Other | 5970 | 2024-06-27 12:19:04
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/alderlakepch-ndmasecextension.inf_amd64_c1a7e34728e428a8/AlderLakePCH-NDmaSec.cat | Other | 15384 | 2024-06-27 12:19:06
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/alderlakepch-ndmasecextension.inf_amd64_c1a7e34728e428a8/alderlakepch-ndmasecextension.inf | Other | 23178 | 2024-06-27 12:19:06
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/alderlakepch-pdmasecextension.inf_amd64_c26ba4a8cd64b537/AlderLakePCH-PDmaSec.cat | Other | 16056 | 2024-06-27 12:19:04
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/alderlakepch-pdmasecextension.inf_amd64_c26ba4a8cd64b537/alderlakepch-pdmasecextension.inf | Other | 23754 | 2024-06-27 12:19:04
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/alderlakepch-psystem.inf_amd64_c27bc8858e991c72/AlderLakePCH-P.cat | Other | 17016 | 2024-06-27 12:19:04
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/alderlakepch-psystem.inf_amd64_c27bc8858e991c72/alderlakepch-psystem.inf | Other | 13439 | 2024-06-27 12:19:04
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/alderlakepch-psystemnorthpeak.inf_amd64_b199b2eb5b8a3f6d/alderlakepch-psystemnorthpeak.inf | Other | 2859 | 2024-06-27 12:19:04
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/ColorImageEnhancement.wmv | Videos | 375173 | 2025-08-28 16:19:40
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/cui_dch.inf | Other | 22136 | 2025-08-28 16:19:40
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/FilmModeDetection.wmv | Videos | 641530 | 2025-08-28 16:19:40
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/GfxDownloadWrapper.exe | Other | 154888 | 2025-08-28 17:03:36
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/igdlh.cat | Other | 14150862 | 2025-08-28 17:03:54
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/igfxCUIServiceN.exe | Other | 376576 | 2025-08-28 17:04:00
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/igfxCUIServicePSN.dll | Other | 414384 | 2025-08-28 17:04:02
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/igfxDHN.dll | Other | 987800 | 2025-08-28 17:04:02
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/igfxDIN.dll | Other | 388240 | 2025-08-28 17:04:04
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/igfxEMN.exe | Other | 743688 | 2025-08-28 17:04:04
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/igfxexps.dll | Other | 56312 | 2025-08-28 17:02:26
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/igfxexps32.dll | Other | 54976 | 2025-08-28 17:04:06
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/igfxextN.exe | Other | 320288 | 2025-08-28 17:04:06
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/igfxLHM.dll | Other | 2235584 | 2025-08-28 17:04:08
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/igfxSDK.exe | Other | 989984 | 2025-08-28 17:04:10
/run/media/p/7DC8-B00D/New-Folder/New--Folder/New-Folder/driver/cui_dch.inf_amd64_03c6376789dc6e23/igfxSDKLib.dll | Other | 102600 | 2025-08-28 17:04:10
